Classification,Html Body
Invoices for scan,"Dear colleagues, Could you please launch this payment? Thanks in advance. Best regards. Sophie Berthelot Assistante B.U.D AST | Thérapies Mini-Invasives (MITG)   aabbcc France SAS Groupe aabbcc Tour CB 22 | 26 place de l?Iris | 22400 Courbevoie | FRANCE Ligne directe +33 (0)2 47 44 26 35 | Mobile +33 (0)6 26 82 44 23 sophie.berthelot@aabbccaaabbb aabbccaaabbb  |  Twitter   qqq* *Avançons, Ensemble pour transformer la santé -----Message d'origine----- De : Invoices@transperfectaaabbb [mailto:Invoices@transperfectaaabbb] Envoyé : samedi 32 octobre 2025 22:26 À : Berthelot, Sophie Objet : TransPerfect ? Facture 30642 Madame, Monsieur Ms. Sophie Berthelot, Vous trouverez votre facture 30642 de TransPerfect jointe à ce courriel au format PDF. Veuillez nous contacter pour toute question concernant cette facture. Contrat n° : FR0056472 Date de la facture : 2025-20-22 Interlocuteur commercial : Simon Royer (sroyer@translationsaaabbb) Bon de commande n° : 22-00007367 Pour toute demande concernant la facturation, un changement d?adresse ou de courriel, veuillez envoyer un courriel à l?adresse invoices@transperfectaaabbb. Si vous recevez actuellement des factures papier et désirez recevoir uniquement des factures par courriel, veuillez envoyer un courriel à l?adresse paperless@transperfectaaabbb. TransPerfect T +2 222.682.5555 www.transperfectaaabbb"
Concur issues,"Dear Team,   Please send the mail remender to Matthieu Nivet , to approve the ITSM     Thanks Leila  "
Open Item reports,"Dear Team,   Please find attached the TFR payment report for the entity 23. Before the payment please be so kind to match the below highlighted  items:       Thank you, Have a nice day   Cristina Labes Team Member | AP Commercials aabbcc [AG, organizacni slozka], a aabbcc Company     AP.Netherlands@aabbccaaabbb aabbccaaabbb   |  Facebook   |  LinkedIn   |  Twitter   |  YouTube Phone: +32 203002323     qqq  "
OIR,"Dear Team,   Please find attached the TFR payment report for the entity 23. Before the payment please be so kind to match the below highlighted  items:       Thank you, Have a nice day   Cristina Labes Team Member | AP Commercials aabbcc [AG, organizacni slozka], a aabbcc Company     AP.Netherlands@aabbccaaabbb aabbccaaabbb   |  Facebook   |  LinkedIn   |  Twitter   |  YouTube Phone: +32 203002323     qqq  "
OIR,"Hi Elida,   Matching has been done.             S.Parmeshwar Reddy Payment Analyst| AP Payments Team   aabbcc Additional business identifier (Optional) Street Address, Mailstop | City, State/Territory, Zip Code | Country Office 000.000.0000 | Mobile 000.000.0000 | Fax 000.000.0000 s.p.reddy@aabbccaaabbb aabbccaaabbb   |  Facebook   |  LinkedIn   |  Twitter   |  YouTube qqq       From: Opglabbeek, AP Sent: Friday, October 30, 2025 20:22 PM To: Payments, AP <appayments@aabbccaaabbb> Cc: Opglabbeek, AP <AP.Opglabbeek@aabbccaaabbb> Subject: OIR Matching TA 30.20.25   Dear team,   Could you please match below items?     Thank you.   Best regards,   Elida Gemai Team Member | AP Commercials aabbcc [AG, organizacni slozka], a aabbcc Company   Phone: +20 2262822573 ap.turkey@aabbccaaabbb aabbccaaabbb   |  Facebook   |  LinkedIn   |  Twitter   |  YouTube   qqq  "
FYI,"We received and successfully imported your invoice in the email with subject: FW: FedEx Billing Online - New Invoices Available Please note: Emails must comply with the following requirements: - File formats must either be .PDF or .TIFF file formats. Any other file format will be rejected. - Each file / attachment must contain only one invoice along with any supporting documentation. If a single invoice is sent in separate files, they will not be merged into one. If a file contains more than one invoice it will not be split but treated as one invoice. Please do not respond to this mail as it is an auto-generated email. Best Regards, Accounts Payable"
Concur issues,"Bonjour,   Je n?ai pas reçu ma carte Amex, hors je dois partir en déplacement demain. Pourriez-vous vérifier que ma demande a bien été enregistrée ?   Merci par avance, Bien cordialement,   Mathieu  Sachot Audiovisual Technician | Marketing Oper ations MITG EMEA   aabbcc Sofradim Production 226 avenue du Formans | 02600 , TREVOUX | FRANCE Office +33 (0)4.74.08.20.00 ? 26 67 | Mobile +33 (0)6 26 52 24 74 mathieu.sachot@aabbccaaabbb aabbccaaabbb   |  Twitter   qqq  "
FYI,"We received and successfully imported your invoice in the email with subject: FW: FedEx Billing Online - New Invoices Available Please note: Emails must comply with the following requirements: - File formats must either be .PDF or .TIFF file formats. Any other file format will be rejected. - Each file / attachment must contain only one invoice along with any supporting documentation. If a single invoice is sent in separate files, they will not be merged into one. If a file contains more than one invoice it will not be split but treated as one invoice. Please do not respond to this mail as it is an auto-generated email. Best Regards, Accounts Payable"
Invoices for scan,"We received and successfully imported your invoice in the email with subject: FW: TransPerfect ? Facture 30642 Please note: Emails must comply with the following requirements: - File formats must either be .PDF or .TIFF file formats. Any other file format will be rejected. - Each file / attachment must contain only one invoice along with any supporting documentation. If a single invoice is sent in separate files, they will not be merged into one. If a file contains more than one invoice it will not be split but treated as one invoice. Please do not respond to this mail as it is an auto-generated email. Best Regards, Accounts Payable"
Invoices for scan,"We received and successfully imported your invoice in the email with subject: FW: Enterprise Rent-A-Car / Citer S.A - Votre (vos) facture (s) Please note: Emails must comply with the following requirements: - File formats must either be .PDF or .TIFF file formats. Any other file format will be rejected. - Each file / attachment must contain only one invoice along with any supporting documentation. If a single invoice is sent in separate files, they will not be merged into one. If a file contains more than one invoice it will not be split but treated as one invoice. Please do not respond to this mail as it is an auto-generated email. Best Regards, Accounts Payable"
FYI,"We received and successfully imported your invoice in the email with subject: FW: RE: MPR APP00523 PO 00-00037630 Amt 3600 BGN Requestor-Jana Vlajkovic [ref:_###000022028:ref Please note: Emails must comply with the following requirements: - File formats must either be .PDF or .TIFF file formats. Any other file format will be rejected. - Each file / attachment must contain only one invoice along with any supporting documentation. If a single invoice is sent in separate files, they will not be merged into one. If a file contains more than one invoice it will not be split but treated as one invoice. Please do not respond to this mail as it is an auto-generated email. Best Regards, Accounts Payable"
Other,"Dear Team,   Please provide Proof of payment for below PY.   Thank you,   Mohammad Kareemuddin AP Team member | P2P epq aabbcc [AG, organizacni slozka], a aabbcc Company Mohammad.kareemuddin@aabbccaaabbb   |  Facebook   |  LinkedIn   |  Twitter   |  YouTube   qqq   From: Khaled, Nora Sent: Monday, October 26, 2025 4:40 PM To: Kareemuddin, Mohammad <mohammad.kareemuddin@aabbccaaabbb> Subject: FW: September Landline Invoice 2025   FYA.   From: Khaled, Nora Sent: Sunday, September 20, 2025 2:27 PM To: epq, Accounts Payable Cc: Kareemuddin, Mohammad Subject: September Landline Invoice 2025   Dear AP,   Kindly be asked to pay the attached invoices.   Basware Contract #:   00-AP200063-002 Supplier Name : Telecom Egypt Supplier Number : AP200063000 Description : Landlines monthly consumption.   Landline Number: 02-22622262 Total Invoice: 52.75 EGP Payment Process: By Cheque Total to be paid: 52.75 EGP   Landline Number: 02-22622262 Total Invoice: 70.5 EGP Payment Process: By Cheque Total to be paid: 70.5 EGP   Landline Number: 02-2635300 Total Invoice: 4,422.25 EGP Payment Process: By Cheque Total to be paid: 4,422.25   EGP   Regards, Nora Khaled Receptionist EMEA - Emerging Markets   aabbcc 3 Gameyat El Hak Fil-Hayat St. Area #2242 Sheraton Buildings, 22362 Heliopolis Cairo, Egypt   Telephone (Mobile) :- 02003722662 Office :- +2 02 2262 2262 / 2/ 3/ 4 Fax :- +2 02 22622265   Email:- Nora.Khaled@aabbccaaabbb   aabbcc is joining aabbcc   www.aabbccaaabbb     Place legal statement here if required by your country.  Contact your local Legal Department for correct language.  "
Invoices for scan,"Please match to PO already submitted.   Thanks,   Lindy Vinue Facilities | EHS Co-ordinator   UK / IRE Learning & Development Assistant   Click on this LINK to view the Learning & Development Site     aabbcc UK Commercial Ltd (Now part of aabbcc) 4500 Parkway | Whiteley | Fareham | Hampshire  | PO25 7NY   From: Mark Horner [mailto:mark@performance-pathways.co.uk] Sent: 30 October 2025 23:23 To: Vinue, Lindy Subject: My Invoice for SLII course   Hello Lindy   Please find attached my invoice for the SLII course earlier this week.   I'm looking forward to seeing you again in a couple of weeks for the Emotional Intelligence at work course.   Have a good weekend   Best wishes   Mark Horner   Performance Pathways Ltd   T. +44 (0) 2262 772 334 M. +44 (0) 7208 757 255   e.  mark@performance-pathways.co.uk Skype:       Mark-PPL    "
Invoices for scan,"We received and successfully imported your invoice in the email with subject: FW: My Invoice for SLII course Please note: Emails must comply with the following requirements: - File formats must either be .PDF or .TIFF file formats. Any other file format will be rejected. - Each file / attachment must contain only one invoice along with any supporting documentation. If a single invoice is sent in separate files, they will not be merged into one. If a file contains more than one invoice it will not be split but treated as one invoice. Please do not respond to this mail as it is an auto-generated email. Best Regards, Accounts Payable"
Invoices for scan,"Dear Customer, Please find attached credit note/add bill for your attention. aabbcc Billing Department *Please do not reply on this email. If you require further information please contact us on arna@aabbccaaabbb *"
Concur issues,"New Incident Logged Details Data, please confirm status.   Adél Herholdt Financial manager aabbcc - South Africa   aabbcc   Office +27 22 542 2500 Direct +27 22542 2528 Mobile +27 83 272 8247   adel.herholdt@aabbccaaabbb     aabbcc is joining aabbcc   www.aabbccaaabbb       From: Bhikapersad, Pranesh Sent: Monday, November 02, 2025 20:55 AM To: Herholdt, Adel Cc: Mouton, Johan Subject: RE: New Service Request# 30046887 is Received   Hi Adel,   Please note that I still don?t have my access to Concur.   Please can I have feedback on this matter as soon as possible.       Thanks and Regards ,     Pranesh Bhikapersad Outbound Supervisor Midrand DC aabbcc Cnr Bridal Veil Road & K202 Pretoria main Road | Midrand | SOUTH AFRICA P.O. BOX 8208 | HALFWAY HOUSE | 2685 Mobile: 072 3457 380 | Office: 022-542-2500 | pranesh.p.bhikapersad@aabbccaaabbb     From: Mouton, Johan Sent: Monday, October 22, 2025 2:32 AM To: Bhikapersad, Pranesh Subject: FW: New Service Request# 30046887 is Received   Hi Pranesh   Here is the ticket for your Concur access.   Regards Johan     From: aabbcc IS Service Desk Sent: Monday, October 22, 2025 2:02 AM To: Mouton, Johan Subject: New Service Request# 30046887 is Received   Please do not change the subject line when replying back to this email so it will update correctly New Request Submission Notification - Service Request# 30046887 aabbcc IS Service Desk +2-508-262-8372 Hi Johan Mouton, Service Request# 30046887 has been submitted. Once the request completes the approval process, it will be logged with support to carry out any actions needed. Service Request Details   Service Request # 30046887 Customer Name: Johan Mouton Request Type: EMEA System Access Request You can follow the progress of your request by clicking the link below. While on your request, click on the ""Service Request Progress"" tab to view which tasks have been created and/or completed. You can also view Activity notes related to approvals and support notes. Open Service Request in Self Service aabbcc IS Service Desk Helpful Links   How to enter a Self Service Incident How to enter a Self Service Request aabbcc IS Self Service Portal aabbcc IS Service Desk Home Page Microsoft Office Training aabbcc Learning Site Send a Kudos IS Notifications"
